City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,sirjan,29.452,55.6814,27.78,30,0,1.4,IR,1722305720
329,karratha,-20.7377,116.8463,26.27,18,5,3.16,AU,1722305722
330,tozeur,33.9197,8.1335,30.22,32,0,3.6,TN,1722305724
331,oriximina,-1.7656,-55.8661,26.82,62,21,1.98,BR,1722305725
332,pekan,3.4836,103.3996,29.06,78,8,2.44,MY,1722305727
333,khovd,48.0056,91.6419,24.22,37,5,1.97,MN,1722305728
334,williams lake,52.1415,-122.1445,17.76,88,75,2.06,CA,1722305729
335,tolanaro,-25.0319,46.9987,18.36,88,19,3.02,MG,1722305731
336,lewistown,40.5992,-77.5714,27.41,72,100,1.57,US,1722305732
337,pampierstad,-27.7832,24.6877,1.26,36,13,1.87,ZA,1722305733
338,la ronge,55.1001,-105.2842,29.12,32,75,1.54,CA,1722305735
339,susuman,62.7833,148.1667,20.61,43,35,7.52,RU,1722305736
340,vorkuta,67.5,64.0,18.7,73,91,3.4,RU,1722305737
341,trancas,-26.2314,-65.2803,8.55,60,2,0.99,AR,1722305740
342,inari,68.906,27.0288,13.31,86,100,3.97,FI,1722305741
343,okhotsk,59.3833,143.3,14.31,65,94,5.05,RU,1722305743
344,sinop,41.7711,34.8709,16.62,54,0,1.29,TR,1722305744
345,guatrache,-37.6678,-63.5302,5.25,32,48,7.1,AR,1722305745
346,priozersk,61.0393,30.1291,14.44,91,43,2.71,RU,1722305747
347,kruisfontein,-34.0033,24.7314,10.59,85,100,8.61,ZA,1722305748
348,pangody,65.85,74.4859,17.43,97,100,1.36,RU,1722305749
349,ancud,-41.8697,-73.8203,5.49,79,100,2.33,CL,1722305750
350,pizarro,4.9533,-77.366,26.45,90,98,2.0,CO,1722305752
351,saint-pierre,-21.3393,55.4781,18.82,52,0,2.57,RE,1722305753
352,el jem,35.3,10.7167,26.16,52,0,3.09,TN,1722305754
353,outjo,-20.1167,16.15,11.09,20,24,2.79,NA,1722305756
354,mora,11.0461,14.1401,23.5,79,100,2.52,CM,1722305757
355,island harbour,50.724,-1.2758,16.77,64,0,2.77,GB,1722305758
356,sonson,5.7106,-75.3107,9.66,90,13,1.31,CO,1722305759
357,gurlan,41.8447,60.3919,22.95,29,94,3.95,UZ,1722305761
358,camocim,-2.9022,-40.8411,25.93,73,32,6.65,BR,1722305762
359,dunedin,-45.8742,170.5036,5.45,76,100,0.45,NZ,1722305764
360,ubinskoye,55.3068,79.6802,17.65,70,84,2.16,RU,1722305765
361,castillos,-34.1667,-53.8333,3.02,78,6,1.22,UY,1722305766
362,kingston,17.997,-76.7936,29.53,74,20,6.17,JM,1722305767
363,namtsy,62.7161,129.6658,15.98,90,100,3.32,RU,1722305769
364,kalabo,-14.97,22.6814,12.72,22,0,1.72,ZM,1722305770
